,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
SFO,Cmp-Att-Yd-TD-INT,18-26-319-2-0,22-30-189-1-0,25-40-257-2-1,23-41-322-3-1,15-29-192-0-1,16-27-181-1-2,17-28-322-0-0,28-40-326-2-1,15-19-182-2-0,16-22-176-2-0,17-26-230-1-1,20-30-299-2-2,27-41-296-2-0,18-24-235-1-0,26-35-322-1-2,16-23-249-2-1,24-33-340-2-2,16-25-172-0-1,11-19-131-0-1,16-30-232-2-1
SFO,First Downs,21,23,26,23,19,13,21,22,20,25,23,17,21,23,22,19,23,21,12,16
SFO,Fourth Down Conv.,0-0,1-1,0-0,3-4,1-5,0-0,1-1,0-0,1-2,1-1,0-0,1-2,0-0,0-0,1-2,0-2,0-0,0-0,0-1,0-0
SFO,Fumbles-Lost,2-2,2-0,2-1,1-1,0-0,3-2,0-0,2-2,0-0,1-0,0-0,1-1,2-0,2-1,3-0,1-0,1-0,0-0,0-0,0-0
SFO,HomeTeam,False,False,True,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False
SFO,Net Pass Yards,311,189,231,314,186,169,322,298,179,162,215,294,255,235,306,241,314,172,106,232
SFO,Opp Score,33,11,30,28,17,30,22,31,10,10,26,30,23,13,20,7,24,17,10,20
SFO,Opp_Cmp-Att-Yd-TD-INT,38-57-338-3-1,12-24-190-0-0,23-33-261-2-0,16-23-149-2-0,22-31-239-1-0,17-26-150-2-0,19-27-175-1-1,23-27-282-1-0,27-42-245-1-2,16-25-158-0-0,21-33-262-2-1,30-37-231-2-1,25-34-348-2-0,19-32-236-1-0,22-30-209-1-0,21-32-163-1-1,21-32-238-3-2,24-44-270-1-1,20-29-225-0-0,31-45-337-2-1
SFO,Opp_First Downs,31,18,21,14,20,17,22,22,16,14,17,21,22,13,16,15,19,20,14,25
SFO,Opp_Fourth Down Conv.,2-5,0-1,0-1,0-0,0-0,1-1,1-1,1-2,0-2,1-1,1-3,2-2,1-1,0-3,0-0,0-1,1-1,1-2,0-0,0-1
SFO,Opp_Fumbles-Lost,0-0,1-0,1-0,3-0,4-1,4-2,3-0,1-0,0-0,2-2,2-1,4-2,4-2,1-1,0-0,2-0,0-0,2-0,2-1,0-0
SFO,Opp_Net Pass Yards,314,177,253,129,210,147,148,274,226,146,256,181,311,213,188,136,201,230,196,326
SFO,Opp_Penalties-Yards,5-45,8-57,7-87,5-27,6-62,6-45,4-30,9-84,5-35,8-56,5-38,6-40,2-19,4-29,6-57,5-67,3-15,14-89,5-25,2-10
SFO,Opp_Rush-Yds-TDs,24-116-1,29-151-1,25-100-1,28-105-2,27-94-1,33-148-2,36-176-1,39-163-3,10-52-0,16-54-1,18-67-1,27-146-2,26-86-0,23-62-0,24-90-1,27-86-0,27-64-0,21-77-1,20-67-1,29-70-0
SFO,Opp_Sacked-Yards,3-24,2-13,1-8,3-20,2-29,1-3,4-27,2-8,2-19,3-12,1-6,4-50,5-37,3-23,4-21,3-27,5-37,5-40,5-29,2-11
SFO,Opp_Third Down Conv.,4-15,5-12,5-11,2-10,3-10,6-14,8-15,7-15,3-10,5-11,2-8,5-15,4-13,5-13,9-16,5-15,10-17,5-14,5-12,11-18
SFO,Opp_Time of Possession,33:27,25:06,30:08,28:20,28:06,33:56,36:49,36:47,20:57,21:38,22:53,33:19,34:17,29:33,29:29,30:31,31:24,26:01,30:36,35:39
SFO,Opp_Total Yards,430,328,353,234,304,295,324,437,278,200,323,327,397,275,278,222,265,307,263,396
SFO,Opp_Turnovers,1,0,0,0,1,2,1,0,2,2,2,3,2,1,0,1,2,1,1,1
SFO,Penalties-Yards,7-79,5-60,4-86,8-78,7-60,7-122,7-55,3-35,9-53,1-12,5-57,10-86,6-40,5-35,5-41,7-111,6-56,9-58,5-40,6-54
SFO,Rush-Yds-TDs,28-131-2,38-117-1,21-67-2,29-143-0,28-152-1,24-111-1,26-145-3,11-39-0,44-156-1,42-171-1,39-208-3,25-71-1,23-100-1,32-162-3,21-83-1,37-175-0,31-135-1,38-169-2,29-106-0,20-50-0
SFO,SFO Score,41,17,28,21,10,18,33,17,31,30,34,23,26,31,17,23,27,23,13,17
SFO,Sacked-Yards,1-8,0-0,4-26,2-8,2-6,2-12,0-0,5-28,1-3,2-14,2-15,1-5,5-41,0-0,2-16,1-8,3-26,0-0,4-25,0-0
SFO,Third Down Conv.,3-9,6-14,7-11,2-14,3-11,1-11,4-10,4-10,8-14,6-12,5-12,3-10,5-15,6-11,3-8,5-13,9-14,6-13,4-11,3-9
SFO,Time of Possession,26:33,34:54,29:52,31:40,31:54,26:04,23:11,23:13,39:03,38:22,37:07,26:41,33:50,30:27,30:31,29:29,36:44,33:59,29:24,24:21
SFO,Total Yards,442,306,298,457,338,280,467,337,335,333,423,365,355,397,389,416,449,341,212,282
SFO,Turnovers,2,0,2,2,1,4,0,3,0,0,1,3,0,1,2,1,2,1,1,1
