,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
SFO,Cmp-Att-Yd-TD-INT,19-29-231-0-0,28-36-319-1-1,22-30-292-3-0,15-27-288-1-1,19-35-244-1-2,18-28-255-3-0,17-31-212-0-3,18-26-260-1-0,18-29-116-1-0,25-32-221-0-1,13-23-163-2-0,11-18-94-0-0,18-24-140-2-0,14-31-142-0-1,22-34-215-1-0,26-34-303-3-0,25-35-242-4-0
SFO,First Downs,24,24,25,19,22,21,19,19,18,19,22,15,14,11,21,23,26
SFO,Fourth Down Conv.,0-0,1-3,1-1,0-0,0-1,0-0,1-1,0-1,1-1,1-2,1-2,1-1,0-0,0-0,0-0,2-3,2-2
SFO,Fumbles-Lost,0-0,3-1,2-1,3-1,1-1,0-0,1-0,1-0,3-0,1-0,0-0,3-3,1-1,0-0,1-0,0-0,1-0
SFO,HomeTeam,True,False,False,True,True,False,True,True,True,False,True,False,False,True,True,False,True
SFO,Net Pass Yards,221,294,288,283,231,255,209,246,105,195,156,86,94,128,215,287,242
SFO,Opp Score,19,23,27,13,24,24,28,24,23,17,10,35,38,12,17,34,24
SFO,Opp_Cmp-Att-Yd-TD-INT,19-29-203-2-1,17-26-268-2-1,16-26-221-1-0,19-32-168-1-1,19-30-195-1-1,30-52-312-1-2,16-27-154-0-2,25-38-243-2-2,25-36-353-2-0,21-28-159-1-1,17-29-199-1-1,14-18-152-2-0,20-26-325-2-1,16-27-160-0-0,26-40-313-2-1,30-40-412-3-2,29-43-326-2-2
SFO,Opp_First Downs,14,17,19,12,19,22,22,18,24,21,11,20,22,14,20,29,26
SFO,Opp_Fourth Down Conv.,0-1,0-0,2-2,1-3,1-1,2-3,1-2,1-2,0-0,0-0,0-2,1-1,2-2,1-1,0-1,1-1,1-2
SFO,Opp_Fumbles-Lost,1-1,3-1,0-0,4-2,1-0,2-1,0-0,2-0,2-1,0-0,5-2,0-0,0-0,0-0,0-0,2-0,3-1
SFO,Opp_Net Pass Yards,198,257,198,143,189,306,145,236,338,146,197,152,321,160,293,400,298
SFO,Opp_Penalties-Yards,3-10,7-53,8-75,3-20,1-5,9-69,4-48,6-30,6-49,9-54,9-77,5-35,7-31,4-40,11-90,5-30,13-85
SFO,Opp_Rush-Yds-TDs,19-68-1,24-146-0,26-98-2,24-73-0,26-169-1,20-52-1,39-184-4,19-56-1,22-75-0,27-131-1,16-44-0,38-220-3,34-131-3,38-142-0,18-81-0,18-75-2,28-138-1
SFO,Opp_Sacked-Yards,1-5,4-11,3-23,6-25,1-6,1-6,2-9,2-7,3-15,2-13,2-2,0-0,1-4,0-0,3-20,2-12,2-28
SFO,Opp_Third Down Conv.,6-10,7-12,5-12,5-16,3-10,7-16,8-14,4-12,5-11,7-11,3-10,6-12,6-12,4-15,5-13,5-8,5-13
SFO,Opp_Time of Possession,21:20,25:12,26:33,28:25,27:02,26:57,35:04,26:48,31:48,33:25,23:17,33:27,31:48,35:04,26:54,25:08,31:51
SFO,Opp_Total Yards,266,403,296,216,358,358,329,292,413,277,241,372,452,302,374,475,436
SFO,Opp_Turnovers,2,2,0,3,1,3,2,2,1,1,3,0,1,0,1,2,3
SFO,Penalties-Yards,4-40,4-30,7-111,6-43,4-21,5-34,6-40,9-73,5-42,4-20,5-40,2-10,2-30,4-25,6-45,6-57,1-5
SFO,Rush-Yds-TDs,38-180-2,25-102-1,34-137-0,32-148-1,26-153-0,33-228-1,24-101-2,36-223-2,27-110-1,23-94-2,42-169-3,27-153-1,21-68-0,19-63-0,30-166-1,33-152-2,27-151-2
SFO,SFO Score,32,17,24,30,23,36,18,30,20,20,38,10,13,6,29,40,47
SFO,Sacked-Yards,3-10,6-25,1-4,1-5,2-13,0-0,1-3,2-14,2-11,4-26,2-7,2-8,7-46,3-14,0-0,2-16,0-0
SFO,Third Down Conv.,6-13,2-10,6-11,7-13,6-11,5-12,2-11,8-16,5-14,6-13,6-13,3-10,4-10,3-12,4-12,9-14,4-11
SFO,Time of Possession,38:40,34:48,33:27,31:35,32:58,33:03,24:56,33:12,28:12,26:35,36:43,26:33,28:12,24:56,33:06,34:52,28:09
SFO,Total Yards,401,396,425,431,384,483,310,469,215,289,325,239,162,191,381,439,393
SFO,Turnovers,0,2,1,2,3,0,3,0,0,1,0,3,1,1,0,0,0
