,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
SFO,Cmp-Att-Yd-TD-INT,19-33-259-2-0,22-27-202-2-1,25-36-343-1-0,32-45-338-1-2,16-35-171-1-2,23-33-268-3-0,20-25-277-0-2,29-41-322-2-1,22-35-291-1-1,24-39-247-1-2,19-31-198-0-2,32-40-375-4-0,25-45-260-1-1,20-34-221-2-0,13-22-182-3-0,20-36-181-2-0
SFO,First Downs,18,17,29,25,19,24,26,24,17,21,14,31,21,15,22,21
SFO,Fourth Down Conv.,0-2,0-0,0-0,0-1,0-2,1-1,0-0,2-2,0-1,0-1,0-0,2-3,0-1,0-0,0-0,1-1
SFO,Fumbles-Lost,0-0,2-0,0-0,1-1,2-1,0-0,0-0,3-1,1-1,2-2,2-2,2-1,2-2,0-0,1-1,0-0
SFO,HomeTeam,True,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False
SFO,Net Pass Yards,243,177,327,301,128,268,270,299,282,232,182,368,236,204,171,159
SFO,Opp Score,24,13,9,25,43,16,6,37,34,27,23,24,23,33,12,23
SFO,Opp_Cmp-Att-Yd-TD-INT,26-40-230-1-1,21-32-179-1-0,17-32-179-0-1,18-28-193-1-1,22-28-350-3-0,19-38-198-2-1,15-25-162-0-4,27-37-261-4-0,25-31-305-4-0,14-23-139-1-0,24-35-252-0-1,26-39-316-3-2,15-32-108-0-1,26-43-319-3-2,31-50-247-0-1,25-37-273-1-0
SFO,Opp_First Downs,29,17,13,18,22,17,17,27,21,17,18,24,12,28,20,17
SFO,Opp_Fourth Down Conv.,0-0,0-2,1-2,2-2,2-2,0-1,0-0,0-0,1-1,0-0,1-1,0-1,0-0,1-1,4-6,1-1
SFO,Opp_Fumbles-Lost,2-0,0-0,4-2,2-0,1-0,0-0,2-0,0-0,0-0,5-2,3-2,0-0,0-0,2-2,2-1,1-1
SFO,Opp_Net Pass Yards,224,173,165,174,342,198,147,249,294,123,233,316,95,308,230,242
SFO,Opp_Penalties-Yards,9-102,5-65,5-28,3-25,7-69,6-34,3-30,6-30,5-45,5-61,5-40,7-43,5-30,4-39,4-20,2-25
SFO,Opp_Rush-Yds-TDs,36-180-2,29-104-0,15-66-0,28-93-1,33-94-1,19-113-0,22-94-0,28-101-1,31-111-0,30-114-2,33-112-1,21-86-0,28-98-0,36-150-1,27-120-1,24-86-1
SFO,Opp_Sacked-Yards,2-6,1-6,2-14,3-19,2-8,0-0,2-15,2-12,1-11,3-16,2-19,0-0,2-13,2-11,3-17,3-31
SFO,Opp_Third Down Conv.,7-14,5-14,4-10,4-13,4-12,4-12,1-6,9-15,6-12,2-12,3-14,6-11,3-15,6-15,4-16,6-15
SFO,Opp_Time of Possession,31:26,27:47,20:16,29:29,36:53,22:05,21:37,30:58,36:30,27:06,34:03,25:02,27:49,34:56,32:16,32:20
SFO,Opp_Total Yards,404,277,231,267,436,311,241,350,405,237,345,402,193,458,350,328
SFO,Opp_Turnovers,1,0,3,1,0,1,4,0,0,2,3,2,1,4,2,1
SFO,Penalties-Yards,5-53,5-59,6-45,6-42,7-75,7-63,6-65,6-36,4-33,6-51,3-27,4-50,5-35,5-58,4-27,4-35
SFO,Rush-Yds-TDs,25-123-0,29-182-2,35-93-3,20-116-2,19-131-1,37-122-0,37-197-4,22-52-2,17-55-1,25-49-0,28-126-1,27-81-0,27-108-1,22-87-2,30-227-0,27-121-1
SFO,SFO Score,20,31,36,20,17,24,33,27,17,13,20,34,15,41,20,26
SFO,Sacked-Yards,3-16,3-25,2-16,5-37,5-43,0-0,1-7,3-23,1-9,2-15,2-16,1-7,4-24,2-17,3-11,2-22
SFO,Third Down Conv.,2-11,7-13,8-12,5-11,2-10,5-13,5-9,6-13,3-10,7-16,4-13,4-9,4-15,6-15,2-9,4-12
SFO,Time of Possession,28:34,32:13,39:44,30:31,23:07,37:55,38:23,29:02,23:30,32:54,25:57,34:58,32:11,25:04,27:44,27:40
SFO,Total Yards,366,359,420,417,259,390,467,351,337,281,308,449,344,291,398,280
SFO,Turnovers,0,1,0,3,3,0,2,2,2,4,4,1,3,0,1,0
