,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
SFO,Cmp-Att-Yd-TD-INT,24-35-193-0-1,15-27-99-0-1,23-37-332-2-1,24-49-234-0-1,29-46-353-2-0,23-47-279-1-1,22-38-235-0-0,17-36-167-1-2,24-51-294-0-1,19-25-288-2-1,24-40-219-1-1,26-37-293-0-1,20-33-334-1-1,31-43-381-1-0,21-30-242-2-1,20-33-292-2-2
SFO,First Downs,13,11,25,20,23,21,23,14,17,21,16,23,20,23,26,25
SFO,Fourth Down Conv.,1-4,0-0,2-3,1-1,2-2,1-2,0-2,0-0,0-2,0-1,1-1,0-0,0-0,0-0,0-0,0-0
SFO,Fumbles-Lost,1-1,0-0,1-1,1-0,2-0,0-0,4-3,0-0,1-1,1-1,1-0,1-0,0-0,0-0,0-0,1-1
SFO,HomeTeam,True,False,True,False,False,False,True,False,True,True,True,False,False,True,True,False
SFO,Net Pass Yards,166,89,308,210,336,250,187,144,266,288,196,278,314,363,238,292
SFO,Opp Score,23,12,41,18,26,26,40,33,20,21,24,14,16,23,33,13
SFO,Opp_Cmp-Att-Yd-TD-INT,14-25-171-2-1,23-39-198-1-0,22-28-292-3-0,33-51-357-1-1,22-34-314-0-1,25-37-330-2-1,17-27-236-3-0,18-32-211-2-1,15-30-201-2-1,28-37-273-2-0,20-34-228-2-1,12-15-102-1-0,20-38-238-2-0,23-33-241-2-0,32-50-382-2-3,20-34-169-0-0
SFO,Opp_First Downs,20,21,26,25,25,25,27,19,20,19,20,8,18,23,32,15
SFO,Opp_Fourth Down Conv.,0-0,1-1,0-0,0-0,0-0,0-0,0-1,1-1,0-0,3-3,0-0,0-0,1-2,1-1,2-2,1-1
SFO,Opp_Fumbles-Lost,2-1,2-0,3-2,0-0,3-0,2-1,0-0,0-0,1-1,1-1,1-0,2-0,2-1,1-1,1-0,4-2
SFO,Opp_Net Pass Yards,171,181,292,317,288,325,236,192,201,260,228,85,221,238,380,149
SFO,Opp_Penalties-Yards,5-40,9-71,7-52,10-80,7-62,5-43,5-36,4-35,2-25,4-35,6-35,4-29,8-81,3-22,12-99,6-46
SFO,Opp_Rush-Yds-TDs,38-116-0,37-131-0,32-126-2,22-51-0,35-159-2,33-94-1,43-265-3,31-112-1,43-167-0,23-114-0,30-90-1,19-62-0,23-90-0,28-90-0,28-92-2,26-102-1
SFO,Opp_Sacked-Yards,0-0,3-17,0-0,6-40,4-26,1-5,0-0,3-19,0-0,3-13,0-0,2-17,3-17,1-3,1-2,3-20
SFO,Opp_Third Down Conv.,7-13,8-19,8-12,5-16,8-16,7-14,7-11,4-14,7-16,5-14,5-13,5-10,3-13,6-12,5-13,5-15
SFO,Opp_Time of Possession,34:21,36:58,29:43,36:15,37:17,36:52,32:50,32:57,36:22,31:00,29:31,21:13,25:11,27:25,30:49,30:51
SFO,Opp_Total Yards,287,312,418,368,447,419,501,304,368,374,318,147,311,328,472,251
SFO,Opp_Turnovers,2,0,2,1,1,2,0,1,2,1,1,0,1,1,3,2
SFO,Penalties-Yards,10-74,6-66,10-55,13-113,10-77,7-40,2-22,6-69,8-53,6-44,7-74,8-53,11-87,7-70,8-68,4-23
SFO,Rush-Yds-TDs,15-51-0,19-159-0,33-113-3,27-95-0,22-66-0,20-85-2,22-103-1,24-94-0,17-63-1,33-186-2,24-84-0,34-110-0,31-102-1,22-51-0,35-131-3,30-169-2
SFO,SFO Score,3,9,39,15,23,24,10,10,10,31,13,15,26,25,44,34
SFO,Sacked-Yards,4-27,2-10,4-24,3-24,2-17,3-29,5-48,4-23,5-28,0-0,3-23,2-15,2-20,3-18,1-4,0-0
SFO,Third Down Conv.,2-11,2-12,9-18,5-19,4-14,6-17,6-13,3-15,6-17,8-12,5-16,10-18,2-11,7-14,10-15,6-12
SFO,Time of Possession,25:39,23:02,30:17,33:13,31:05,23:08,27:10,27:03,23:38,29:00,30:29,38:47,34:49,32:35,29:11,29:09
SFO,Total Yards,217,248,421,305,402,335,290,238,329,474,280,388,416,414,369,461
SFO,Turnovers,2,1,2,1,0,1,3,2,2,2,1,1,1,0,1,3
