,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
BUF,BUF Score,16,35,43,40,38,31,26,6,45,15,31,10,27,31,33,29,27,47,36
BUF,Cmp-Att-Yd-TD-INT,30-51-270-1-0,17-33-179-2-1,33-44-359-4-0,21-31-256-2-1,15-26-315-3-0,35-47-353-3-1,29-43-249-2-0,31-47-264-0-2,21-28-366-2-1,24-40-228-2-3,23-28-260-4-2,15-30-145-1-0,36-54-308-2-1,19-34-210-3-1,30-47-314-3-0,11-26-120-0-3,25-46-254-2-0,21-25-308-5-0,27-37-329-4-0
BUF,First Downs,22,21,29,26,20,28,24,17,26,19,21,16,27,21,28,28,25,29,23
BUF,Fourth Down Conv.,1-3,1-1,0-1,1-2,0-0,0-1,0-1,0-1,0-0,0-0,1-1,0-1,2-3,1-1,3-4,1-1,0-1,0-0,4-4
BUF,Fumbles-Lost,4-1,2-1,0-0,3-0,0-0,1-0,1-0,2-1,2-1,2-1,1-0,1-1,0-0,1-0,0-0,1-0,3-0,0-0,1-0
BUF,HomeTeam,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False
BUF,Net Pass Yards,254,171,359,251,315,335,249,229,350,220,248,131,293,193,314,118,254,308,313
BUF,Opp Score,23,0,21,0,20,34,11,9,17,41,6,14,33,14,21,15,10,17,42
BUF,Opp_Cmp-Att-Yd-TD-INT,18-32-188-1-0,25-44-182-0-1,14-24-212-2-2,11-21-87-0-4,33-54-272-2-2,18-29-216-0-1,21-39-205-0-1,17-28-151-0-0,27-47-298-1-4,11-20-106-1-0,17-30-163-1-1,2-3-19-0-0,31-46-363-2-0,18-38-156-1-1,14-32-145-0-2,13-23-197-0-0,7-20-87-1-0,24-38-232-2-2,33-44-378-3-0
BUF,Opp_First Downs,16,13,13,6,29,16,16,16,22,28,12,11,26,19,20,18,4,20,30
BUF,Opp_Fourth Down Conv.,0-0,0-4,1-2,1-2,0-1,1-1,1-1,2-2,1-2,0-1,1-3,1-2,0-1,1-5,5-6,0-1,1-1,4-4,1-1
BUF,Opp_Fumbles-Lost,1-0,3-2,2-1,2-1,2-2,0-0,2-1,1-1,1-1,1-0,0-0,2-1,1-0,2-0,1-0,1-1,1-0,0-0,1-0
BUF,Opp_Net Pass Yards,177,145,212,61,272,216,194,139,296,106,146,19,351,124,139,169,5,216,370
BUF,Opp_Penalties-Yards,5-32,9-83,5-38,10-100,7-55,7-91,9-58,8-54,9-69,3-30,4-24,6-47,4-24,5-55,3-30,4-27,4-27,5-34,1-10
BUF,Opp_Rush-Yds-TDs,21-75-0,20-71-0,25-78-1,18-48-0,23-120-0,22-146-4,23-68-1,27-79-0,22-70-1,46-264-4,25-44-0,46-222-1,29-137-2,29-151-1,27-149-3,22-96-1,17-48-0,20-89-0,27-182-2
BUF,Opp_Sacked-Yards,2-11,6-37,1-0,3-26,2-0,0-0,2-11,2-12,1-2,0-0,2-17,0-0,2-12,4-32,1-6,5-28,9-82,3-16,2-8
BUF,Opp_Third Down Conv.,4-12,8-18,2-11,1-9,5-12,4-10,4-14,2-13,3-13,8-12,5-14,2-12,8-16,7-17,1-10,1-7,1-14,7-14,8-13
BUF,Opp_Time of Possession,26:43,31:34,24:23,21:45,32:25,27:10,29:13,29:22,32:33,37:47,25:22,32:01,32:08,31:25,24:51,23:53,23:00,28:35,36:38
BUF,Opp_Total Yards,252,216,290,109,392,362,262,218,366,370,190,241,488,275,288,265,53,305,552
BUF,Opp_Turnovers,0,3,3,5,4,1,2,1,5,0,1,1,0,1,2,1,0,2,0
BUF,Penalties-Yards,8-81,6-53,5-30,3-30,10-103,8-60,9-80,12-118,7-50,7-56,4-35,3-20,7-65,8-67,5-45,7-47,4-40,3-47,3-15
BUF,Rush-Yds-TDs,25-117-0,30-143-3,33-122-1,40-199-2,28-121-1,23-82-0,23-102-1,14-72-0,24-139-4,13-91-0,32-113-0,25-99-0,19-173-1,27-119-1,28-114-1,44-233-4,33-170-1,29-174-2,24-109-1
BUF,Sacked-Yards,3-16,1-8,0-0,1-5,0-0,3-18,0-0,4-35,2-16,1-8,2-12,2-14,3-15,4-17,0-0,1-2,0-0,0-0,2-16
BUF,Third Down Conv.,8-18,7-13,9-15,5-12,5-11,7-13,6-13,6-15,4-7,5-10,8-13,4-13,2-13,6-14,6-12,7-12,8-18,6-7,6-14
BUF,Time of Possession,33:17,28:26,35:37,38:15,27:35,32:50,30:47,30:38,27:27,22:13,34:38,27:59,32:21,28:35,35:09,36:07,37:00,31:25,27:37
BUF,Total Yards,371,314,481,450,436,417,351,301,489,311,361,230,466,312,428,351,424,482,422
BUF,Turnovers,1,2,0,1,0,1,0,3,2,4,2,1,1,1,0,3,0,0,0
