,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
CIN,CIN Score,3,24,19,3,34,17,17,18,27,34,16,31,14,27,34,17,14
CIN,Cmp-Att-Yd-TD-INT,14-32-82-0-0,27-41-222-2-1,26-49-259-0-1,20-30-165-0-0,36-46-317-3-1,24-35-185-2-1,22-31-365-1-2,26-38-258-1-1,27-40-347-2-2,16-26-264-2-0,24-33-278-0-0,31-39-321-2-0,26-39-240-1-1,29-42-324-2-1,17-27-290-2-0,19-33-197-1-0,13-26-166-2-2
CIN,First Downs,6,19,19,14,27,15,24,21,20,22,22,23,19,22,16,20,13
CIN,Fourth Down Conv.,0-1,1-1,1-1,0-1,0-3,0-0,0-0,0-0,1-1,0-0,0-0,2-2,1-2,1-1,0-0,1-3,1-1
CIN,Fumbles-Lost,0-0,0-0,0-0,2-1,1-0,0-0,1-1,1-1,1-0,1-0,1-1,3-0,1-1,1-0,1-0,0-0,0-0
CIN,HomeTeam,False,True,True,False,False,True,True,False,True,True,False,True,False,True,True,False,False
CIN,Net Pass Yards,67,216,242,139,287,168,347,249,314,248,268,305,226,298,284,159,140
CIN,Opp Score,24,27,16,27,20,13,31,24,30,20,10,34,34,24,11,25,31
CIN,Opp_Cmp-Att-Yd-TD-INT,16-29-154-1-1,24-33-237-2-0,18-33-269-1-2,19-26-242-2-1,15-32-166-2-2,27-41-326-0-2,28-32-283-3-0,31-44-348-2-0,23-39-356-1-1,19-31-169-2-0,19-26-227-1-1,33-39-347-1-1,19-25-274-2-1,26-34-303-2-2,28-42-335-1-3,21-29-245-1-0,21-28-176-3-1
CIN,Opp_First Downs,21,26,15,23,15,24,29,23,28,20,10,27,19,24,17,15,22
CIN,Opp_Fourth Down Conv.,0-0,0-0,1-1,1-1,0-3,0-2,0-0,1-2,0-1,1-1,0-0,1-2,1-1,0-1,0-2,1-1,0-0
CIN,Opp_Fumbles-Lost,2-1,0-0,0-0,3-0,1-1,0-0,2-1,0-0,2-2,0-0,1-0,0-0,0-0,0-0,1-0,1-1,1-0
CIN,Opp_Net Pass Yards,144,237,221,227,152,297,266,343,356,136,197,335,274,281,309,241,145
CIN,Opp_Penalties-Yards,5-43,6-56,4-28,5-27,2-16,7-64,1-15,6-49,7-50,9-78,5-36,6-35,5-40,4-22,3-20,3-39,1-10
CIN,Opp_Rush-Yds-TDs,40-206-1,37-178-1,13-71-0,33-173-1,22-142-1,25-87-1,27-134-1,22-54-1,34-188-2,23-136-0,11-25-0,31-156-3,32-111-2,30-143-1,16-59-0,22-132-0,30-183-1
CIN,Opp_Sacked-Yards,3-10,0-0,6-48,3-15,3-14,4-29,3-17,1-5,1-0,5-33,4-30,2-12,0-0,3-22,3-26,2-4,3-31
CIN,Opp_Third Down Conv.,4-14,9-14,1-11,8-13,4-11,5-12,3-8,8-15,4-13,2-11,2-10,8-14,3-11,5-12,6-13,3-12,3-12
CIN,Opp_Time of Possession,35:50,33:04,24:00,34:45,21:50,34:01,31:23,36:38,31:30,29:23,22:43,34:03,31:52,33:41,31:49,25:43,35:46
CIN,Opp_Total Yards,350,415,292,400,294,384,400,397,544,272,222,491,385,424,368,373,328
CIN,Opp_Turnovers,2,0,2,1,3,2,1,0,3,0,1,1,1,2,3,1,1
CIN,Penalties-Yards,4-20,5-30,7-49,5-40,4-40,5-43,5-54,5-49,4-63,9-110,5-55,7-55,9-66,3-26,2-15,3-20,7-35
CIN,Rush-Yds-TDs,20-75-0,15-66-0,23-67-1,18-72-0,30-93-0,15-46-0,23-113-1,16-68-1,16-66-1,31-157-2,33-153-1,25-71-2,18-46-0,22-80-1,30-113-2,32-104-1,24-104-0
CIN,Sacked-Yards,2-15,1-6,2-17,3-26,3-30,3-17,2-18,1-9,4-33,3-16,2-10,4-16,3-14,5-26,1-6,6-38,3-26
CIN,Third Down Conv.,2-15,10-15,5-17,2-9,5-14,3-11,5-9,7-12,6-14,6-12,8-17,6-15,3-11,6-13,7-14,8-16,2-11
CIN,Time of Possession,24:10,26:56,36:00,25:15,38:10,25:59,28:37,23:22,28:30,30:37,37:17,34:12,28:08,33:08,28:11,34:17,24:14
CIN,Total Yards,142,282,309,211,380,214,460,317,380,405,421,376,272,378,397,263,244
CIN,Turnovers,0,1,1,1,1,1,3,2,2,0,1,0,2,1,0,0,2
