,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20
CIN,CIN Score,27,17,24,24,22,34,41,31,16,32,41,22,23,15,41,34,16,26,19,27,20
CIN,Cmp-Att-Yd-TD-INT,20-27-261-2-0,19-30-207-2-3,14-18-172-3-1,25-32-348-2-0,26-38-281-2-2,20-30-278-4-1,23-38-416-3-1,22-35-305-3-1,29-42-288-0-2,20-29-148-1-0,20-25-190-1-1,24-40-300-1-2,25-34-348-2-0,15-22-157-1-0,37-46-525-4-0,30-40-446-4-0,15-29-136-1-0,24-34-244-2-0,28-37-348-0-1,23-38-250-2-1,23-34-269-2-0
CIN,First Downs,20,14,12,21,18,20,19,18,25,23,25,21,22,12,33,23,11,18,17,21,15
CIN,Fourth Down Conv.,2-3,0-1,0-0,0-0,2-2,2-2,1-2,0-1,0-2,0-0,1-1,0-1,1-1,0-0,2-2,1-1,1-1,1-1,0-0,0-0,1-3
CIN,Fumbles-Lost,0-0,1-1,0-0,0-0,0-0,1-0,1-0,1-0,4-1,3-1,0-0,2-2,4-2,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0
CIN,HomeTeam,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True,True,False,True,False,False,True
CIN,Net Pass Yards,217,179,172,342,264,256,409,277,263,129,172,260,311,136,498,415,103,225,280,243,226
CIN,Opp Score,24,20,10,21,25,11,17,34,41,13,10,41,26,10,21,31,21,19,16,24,23
CIN,Opp_Cmp-Att-Yd-TD-INT,37-50-362-2-0,15-24-116-1-1,38-58-318-1-2,17-24-204-0-0,27-39-344-2-1,28-42-202-0-1,20-42-296-1-0,39-49-422-3-2,14-21-218-2-0,19-27-215-1-1,24-41-263-1-2,26-35-317-3-1,27-41-296-2-0,18-34-186-1-0,28-40-304-2-1,26-35-259-2-0,17-24-176-2-1,29-54-310-1-1,15-24-220-1-3,26-39-275-3-2,26-41-283-3-2
CIN,Opp_First Downs,24,16,21,21,21,15,20,32,14,13,16,18,21,19,21,23,24,23,16,24,17
CIN,Opp_Fourth Down Conv.,2-2,0-1,0-2,1-2,0-0,1-2,1-4,0-0,0-0,0-0,0-0,1-1,0-0,0-1,0-1,1-1,0-1,1-2,0-1,0-0,1-1
CIN,Opp_Fumbles-Lost,1-1,1-0,1-0,1-0,0-0,0-0,1-0,1-1,2-0,2-1,2-1,2-2,2-0,1-1,2-0,0-0,2-1,2-1,0-0,2-0,0-0
CIN,Opp_Net Pass Yards,336,83,297,202,333,192,278,414,208,206,250,284,255,159,295,259,171,282,213,236,270
CIN,Opp_Penalties-Yards,12-116,8-70,10-73,2-10,2-10,9-77,5-46,8-46,10-84,7-77,4-30,7-51,6-40,6-60,6-27,10-83,4-46,7-46,2-15,2-11,2-10
CIN,Opp_Rush-Yds-TDs,22-67-1,34-123-0,15-45-0,30-139-3,22-133-0,18-36-1,24-115-1,27-97-1,23-153-2,18-72-0,15-51-0,22-79-1,23-100-1,34-133-0,16-39-1,23-155-2,41-205-1,14-103-0,27-140-1,24-139-0,23-43-0
CIN,Opp_Sacked-Yards,3-26,3-33,4-21,1-2,2-11,1-10,5-18,2-8,2-10,2-9,3-13,4-33,5-41,3-27,1-9,0-0,1-5,3-28,1-7,4-39,2-13
CIN,Opp_Third Down Conv.,6-16,6-15,9-19,6-12,4-11,5-14,5-16,6-11,3-9,1-7,7-13,4-13,5-15,7-16,6-11,6-11,6-12,8-18,1-8,6-12,6-15
CIN,Opp_Time of Possession,35:09,31:21,35:22,28:45,33:59,24:08,31:49,36:21,24:38,22:40,24:40,28:46,33:50,32:41,22:57,30:54,30:56,28:09,26:35,29:42,30:47
CIN,Opp_Total Yards,403,206,342,341,466,228,393,511,361,278,301,363,355,292,334,414,376,385,353,375,313
CIN,Opp_Turnovers,1,1,2,0,1,1,0,3,0,2,3,3,0,1,1,0,2,2,3,2,2
CIN,Penalties-Yards,3-15,4-57,10-89,6-38,2-21,4-31,1-5,5-51,4-31,1-5,3-18,7-63,2-19,6-38,5-45,5-62,4-32,7-56,6-46,4-30,4-31
CIN,Rush-Yds-TDs,36-149-1,20-69-0,24-96-0,22-78-1,24-103-1,36-142-0,24-111-2,16-41-1,23-85-2,38-159-2,38-198-3,25-96-2,26-86-0,26-113-0,21-77-1,19-60-0,18-79-0,25-83-0,18-65-1,27-116-0,20-79-0
CIN,Sacked-Yards,5-44,5-28,0-0,1-6,3-17,2-22,1-7,3-28,5-25,3-19,2-18,6-40,5-37,3-21,3-27,4-31,4-33,2-19,9-68,1-7,7-43
CIN,Third Down Conv.,3-14,6-13,3-9,5-9,5-14,8-15,4-13,4-10,3-11,8-16,5-11,6-12,4-13,4-13,5-10,4-10,5-14,5-12,7-15,8-14,3-14
CIN,Time of Possession,34:51,28:39,24:38,31:15,34:06,35:52,28:11,23:39,35:22,37:20,35:20,31:14,34:17,27:19,37:03,29:06,29:04,31:51,33:25,35:56,29:13
CIN,Total Yards,366,248,268,420,367,398,520,318,348,288,370,356,397,249,575,475,182,308,345,359,305
CIN,Turnovers,0,4,1,0,2,1,1,1,3,1,1,4,2,0,0,0,0,0,1,1,0
