,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
CHI,CHI Score,27,17,30,11,20,23,10,23,17,13,25,30,36,33,41,16,9
CHI,Cmp-Att-Yd-TD-INT,20-36-242-3-0,18-28-190-2-2,29-51-316-4-2,26-42-249-1-1,30-42-243-1-1,23-39-198-1-1,28-40-261-0-2,28-41-272-2-1,36-52-335-2-0,16-31-124-0-1,26-46-242-3-2,26-34-267-1-0,24-33-267-3-0,15-21-202-1-1,24-36-265-2-1,33-42-252-0-1,19-29-199-1-0
CHI,First Downs,26,18,24,16,18,22,14,18,22,10,26,26,23,23,28,21,11
CHI,Fourth Down Conv.,1-2,1-1,1-2,0-0,0-0,0-0,1-4,2-3,3-4,0-2,1-1,0-1,0-0,0-0,2-2,5-6,0-1
CHI,Fumbles-Lost,1-0,1-0,2-0,0-0,1-0,1-0,0-0,0-0,3-2,3-1,3-1,1-1,0-0,0-0,3-0,1-1,0-0
CHI,HomeTeam,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False
CHI,Net Pass Yards,214,169,307,241,208,198,230,233,319,108,229,249,241,198,263,248,191
CHI,Opp Score,23,13,26,19,19,16,24,26,24,19,41,34,7,27,17,35,21
CHI,Opp_Cmp-Att-Yd-TD-INT,24-42-297-1-1,25-40-241-0-1,19-38-238-1-1,16-29-190-1-0,25-41-253-1-0,16-29-216-0-2,23-33-220-2-0,31-41-280-2-0,10-21-158-2-0,25-36-292-2-1,21-29-211-4-0,27-42-402-3-1,21-30-219-1-0,24-35-271-2-1,24-37-211-2-2,19-24-240-4-0,28-39-265-2-0
CHI,Opp_First Downs,25,22,22,18,18,23,24,23,11,19,28,24,17,26,14,17,27
CHI,Opp_Fourth Down Conv.,0-0,3-3,0-0,1-2,1-2,1-2,0-0,2-3,0-0,0-0,3-3,1-2,1-3,0-2,0-0,0-0,0-1
CHI,Opp_Fumbles-Lost,0-0,1-1,1-0,0-0,2-1,1-1,2-1,3-0,0-0,2-1,0-0,0-0,2-2,1-0,0-0,1-1,2-1
CHI,Opp_Net Pass Yards,288,220,227,186,233,191,211,272,136,286,211,400,155,249,203,237,262
CHI,Opp_Penalties-Yards,8-77,3-10,7-75,8-76,11-109,8-69,4-46,5-45,6-57,4-35,3-17,7-45,6-50,1-5,10-115,4-30,4-20
CHI,Opp_Rush-Yds-TDs,29-138-1,18-75-1,25-144-2,38-103-0,20-106-0,29-112-1,34-160-1,30-122-0,31-92-0,33-99-0,39-182-1,22-60-2,27-108-0,28-158-1,16-76-0,19-79-1,35-123-1
CHI,Opp_Sacked-Yards,1-9,4-21,2-11,1-4,3-20,4-25,1-9,1-8,3-22,1-6,0-0,2-2,7-64,3-22,1-8,1-3,1-3
CHI,Opp_Third Down Conv.,6-16,3-13,4-13,8-19,4-14,3-13,4-13,2-13,6-15,8-15,6-11,6-11,7-14,4-11,5-12,4-7,11-17
CHI,Opp_Time of Possession,30:55,25:31,25:10,32:28,31:32,31:06,32:35,35:15,26:06,35:50,37:44,27:42,30:26,27:01,27:00,24:32,38:58
CHI,Opp_Total Yards,426,295,371,289,339,303,371,394,228,385,393,460,263,407,279,316,385
CHI,Opp_Turnovers,1,2,1,0,1,3,1,0,0,2,0,1,2,1,2,1,1
CHI,Penalties-Yards,6-48,5-48,10-80,8-103,6-66,10-92,6-46,7-53,5-35,1-5,5-45,3-20,7-44,4-36,4-40,1-16,9-50
CHI,Rush-Yds-TDs,28-149-0,32-135-0,25-130-0,16-28-0,14-35-1,25-63-1,17-49-0,23-96-0,20-56-0,17-41-0,16-121-0,31-140-3,23-169-1,42-199-2,33-128-3,31-108-1,19-48-0
CHI,Sacked-Yards,1-28,4-21,2-9,1-8,3-35,0-0,4-31,5-39,3-16,2-16,3-13,2-18,3-26,1-4,1-2,1-4,1-8
CHI,Third Down Conv.,2-11,9-16,4-15,4-14,3-10,7-14,4-14,5-15,2-15,2-11,4-10,4-11,3-10,6-12,6-12,6-15,1-10
CHI,Time of Possession,29:05,34:29,34:50,27:32,28:28,28:54,27:25,33:09,33:54,24:10,22:16,32:18,29:34,32:59,33:00,35:28,21:02
CHI,Total Yards,363,304,437,269,243,261,279,329,375,149,350,389,410,397,391,356,239
CHI,Turnovers,0,2,2,1,1,1,2,1,2,2,3,1,0,1,1,2,0
