,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
DEN,Cmp-Att-Yd-TD-INT,27-34-177-2-0,18-32-308-3-1,23-38-306-1-1,21-28-223-3-0,20-31-196-2-0,13-22-95-1-2,20-29-194-1-0,12-19-114-3-0,15-26-177-1-2,20-32-221-1-1,13-22-134-1-0,17-28-292-1-0,21-33-224-2-1,18-32-223-1-0,25-33-256-2-0,20-32-224-1-0,20-32-244-2-0
DEN,DEN Score,16,33,20,31,21,8,19,24,22,20,29,22,24,17,26,16,27
DEN,First Downs,22,21,16,17,18,14,18,19,18,19,17,14,19,20,12,16,22
DEN,Fourth Down Conv.,0-0,2-2,0-1,0-0,0-0,0-1,0-1,0-1,0-1,3-4,0-1,1-1,0-0,2-2,0-0,1-1,0-0
DEN,Fumbles-Lost,0-0,1-1,3-2,0-0,4-3,1-1,0-0,2-1,3-2,4-2,2-1,1-0,0-0,1-1,2-1,0-0,0-0
DEN,HomeTeam,True,True,False,False,True,False,True,True,True,False,True,True,False,False,False,True,True
DEN,Net Pass Yards,166,277,294,214,169,82,194,87,177,210,125,264,216,204,230,212,230
DEN,Opp Score,17,35,70,28,31,19,17,9,24,21,12,17,7,42,23,9,14
DEN,Opp_Cmp-Att-Yd-TD-INT,20-26-200-2-1,27-39-299-2-0,25-28-376-5-0,28-35-335-4-1,19-26-199-0-1,30-41-306-1-1,22-32-194-2-1,24-38-240-0-2,24-29-193-2-0,27-35-259-1-0,20-42-190-1-0,15-26-186-1-3,22-42-275-0-1,24-34-278-5-0,25-37-238-2-0,24-38-220-0-0,20-34-272-1-1
DEN,Opp_First Downs,22,26,30,26,18,22,20,18,19,13,19,16,17,29,19,17,17
DEN,Opp_Fourth Down Conv.,1-1,1-1,1-3,1-3,0-0,0-1,2-2,1-3,1-1,1-1,2-5,3-3,1-6,1-1,1-2,1-2,2-3
DEN,Opp_Fumbles-Lost,1-0,2-0,0-0,1-1,4-1,2-0,0-0,3-3,1-1,1-0,5-3,0-0,2-1,0-0,4-2,2-1,1-0
DEN,Opp_Net Pass Yards,200,266,376,300,173,293,194,212,178,249,162,164,207,263,193,215,238
DEN,Opp_Penalties-Yards,10-97,8-71,6-55,10-91,9-71,7-84,7-56,5-38,10-61,4-48,8-66,2-8,2-10,2-54,2-25,3-48,4-35
DEN,Opp_Rush-Yds-TDs,29-61-0,23-122-2,43-350-5,31-171-0,32-234-1,27-96-0,29-137-0,16-62-0,38-122-0,15-46-0,24-107-0,30-118-1,19-76-1,28-185-1,23-83-1,24-86-0,20-48-1
DEN,Opp_Sacked-Yards,0-0,4-33,0-0,4-35,4-26,2-13,0-0,3-28,4-15,2-10,4-28,3-22,6-68,2-15,5-45,1-5,5-34
DEN,Opp_Third Down Conv.,5-11,3-10,5-9,6-12,3-12,4-13,6-14,3-10,8-19,2-12,2-13,0-11,0-12,5-10,4-13,2-11,4-12
DEN,Opp_Time of Possession,27:52,33:45,33:21,33:49,34:36,35:49,31:37,26:13,37:21,25:02,27:12,26:56,26:31,31:18,31:18,26:14,29:24
DEN,Opp_Total Yards,261,388,726,471,407,389,331,274,300,295,269,282,283,448,276,301,286
DEN,Opp_Turnovers,1,0,0,2,2,1,1,5,1,0,3,3,2,0,2,1,1
DEN,Penalties-Yards,10-83,9-58,7-46,7-39,4-31,3-34,8-60,6-35,5-63,6-55,8-71,8-81,4-26,4-40,3-25,7-49,0-0
DEN,Rush-Yds-TDs,22-94-0,23-122-1,20-69-0,19-97-0,22-139-0,23-115-0,25-145-0,40-153-0,26-192-2,36-175-1,39-169-2,30-89-1,31-106-1,28-83-1,21-59-0,33-101-0,31-129-1
DEN,Sacked-Yards,2-11,7-31,1-12,1-9,4-27,4-13,1-0,6-27,0-0,2-11,1-9,5-28,2-8,2-19,2-26,2-12,3-14
DEN,Third Down Conv.,5-11,4-12,3-12,6-11,4-10,4-10,5-12,6-14,3-8,6-15,6-14,4-16,8-17,5-13,3-13,7-17,7-13
DEN,Time of Possession,32:08,26:15,26:39,26:11,25:24,24:11,28:23,33:47,22:39,34:58,32:48,33:04,33:29,28:42,28:42,33:46,30:36
DEN,Total Yards,260,399,363,311,308,197,339,240,369,385,294,353,322,287,289,313,359
DEN,Turnovers,0,2,3,0,3,3,0,1,4,3,1,0,1,1,1,0,0
