,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
DEN,Cmp-Att-Yd-TD-INT,25-39-329-3-3,19-35-222-0-1,22-34-192-0-1,21-33-245-0-1,35-51-377-2-1,25-41-322-2-1,15-22-189-2-1,23-34-262-2-1,26-42-290-1-0,20-33-217-0-0,15-28-197-2-0,12-21-151-1-0,24-42-186-1-0,31-48-257-0-2,23-37-202-2-2,31-48-292-1-1
DEN,DEN Score,27,20,14,23,16,20,45,23,17,23,24,24,14,16,14,9
DEN,First Downs,25,20,18,21,26,23,15,22,19,16,17,16,22,22,19,19
DEN,Fourth Down Conv.,0-0,1-1,0-1,2-3,0-1,0-1,0-0,1-1,2-2,1-2,0-0,0-0,5-7,1-2,1-2,1-2
DEN,Fumbles-Lost,0-0,0-0,1-0,0-0,2-0,1-0,0-0,3-1,1-1,0-0,0-0,1-1,4-0,0-0,1-0,4-3
DEN,HomeTeam,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True
DEN,Net Pass Yards,324,217,173,226,344,297,178,222,273,217,184,143,171,238,200,288
DEN,Opp Score,24,19,27,27,34,23,10,30,19,22,17,10,20,17,27,23
DEN,Opp_Cmp-Att-Yd-TD-INT,19-33-298-3-2,29-32-288-1-0,25-40-277-1-0,28-45-304-1-0,10-22-198-3-1,14-28-201-0-1,21-39-194-1-3,24-34-303-4-1,17-24-213-2-0,28-43-401-2-2,42-58-464-2-2,25-37-236-1-1,20-33-332-2-1,18-31-188-2-1,19-26-167-0-0,14-24-176-1-2
DEN,Opp_First Downs,13,21,20,22,18,24,14,20,17,26,25,20,24,21,16,17
DEN,Opp_Fourth Down Conv.,0-0,0-1,0-0,2-2,0-0,1-1,0-1,1-1,0-1,0-0,1-1,0-0,0-1,1-2,0-0,0-0
DEN,Opp_Fumbles-Lost,3-1,0-0,1-0,1-0,1-1,0-0,3-2,0-0,0-0,0-0,4-2,2-2,3-0,1-1,1-0,3-2
DEN,Opp_Net Pass Yards,242,281,265,304,189,174,154,291,192,384,452,202,305,175,159,160
DEN,Opp_Penalties-Yards,7-45,4-30,7-52,10-93,4-33,10-81,7-45,7-50,7-60,14-120,5-34,12-100,11-87,6-75,6-50,6-51
DEN,Opp_Rush-Yds-TDs,16-64-0,27-92-1,28-77-2,26-142-2,38-323-1,39-270-2,21-69-0,18-49-0,33-98-0,26-95-0,16-75-0,23-111-0,30-84-0,28-134-0,30-114-2,30-116-1
DEN,Opp_Sacked-Yards,6-56,1-7,2-12,1-0,1-9,5-27,6-40,2-12,4-21,3-17,2-12,4-34,3-27,2-13,1-8,1-16
DEN,Opp_Third Down Conv.,2-12,3-10,8-16,7-15,6-13,8-17,4-14,3-10,4-13,9-15,5-14,5-13,4-13,5-12,5-13,4-11
DEN,Opp_Time of Possession,24:52,32:56,30:14,35:02,28:54,35:10,29:11,27:19,32:25,37:49,35:00,31:20,30:41,27:18,30:08,28:12
DEN,Opp_Total Yards,306,373,342,446,512,444,223,340,290,479,527,313,389,309,273,276
DEN,Opp_Turnovers,3,0,0,0,2,1,5,1,0,2,4,3,1,2,0,4
DEN,Penalties-Yards,7-60,6-35,13-120,3-25,6-45,6-61,5-50,10-83,8-50,7-43,6-50,7-60,11-62,8-51,11-91,11-99
DEN,Rush-Yds-TDs,32-146-0,28-168-2,24-120-2,22-159-2,17-92-0,17-60-0,31-131-2,30-189-1,20-75-1,19-108-3,23-124-1,34-218-2,27-103-1,20-32-1,24-100-0,25-82-0
DEN,Sacked-Yards,1-5,1-5,3-19,4-19,4-33,2-25,2-11,5-40,2-17,0-0,2-13,2-8,2-15,2-19,1-2,1-4
DEN,Third Down Conv.,4-12,8-16,6-14,2-11,4-14,3-10,5-13,4-12,5-14,3-10,3-11,5-13,2-15,5-14,6-14,4-14
DEN,Time of Possession,35:08,27:04,29:46,24:58,31:06,24:50,30:49,32:41,27:35,22:11,25:00,28:40,29:19,32:42,29:52,31:48
DEN,Total Yards,470,385,293,385,436,357,309,411,348,325,308,361,274,270,300,370
DEN,Turnovers,3,1,1,1,1,1,1,2,1,0,0,1,0,2,2,4
